temperature_c,residence_time_min,y_observed,y_true,best_true,best_observed,evaluation
120.0,5.0,51.87050736167481,50.8113642051068,50.8113642051068,51.87050736167481,1
120.0,6.666666666666667,51.291296330050955,50.902191786897156,50.902191786897156,51.87050736167481,2
120.0,8.333333333333334,51.580368512881456,50.98981934341603,50.98981934341603,51.87050736167481,3
120.0,10.0,50.885124691060156,51.08761927356655,51.08761927356655,51.87050736167481,4
120.0,11.666666666666668,52.34957464835997,51.200543997330776,51.200543997330776,52.34957464835997,5
120.0,13.333333333333334,49.48567711443015,51.31537261477474,51.31537261477474,52.34957464835997,6
120.0,15.0,52.76622023291118,51.410415331343096,51.410415331343096,52.76622023291118,7
120.0,16.666666666666668,51.12006036208178,51.46305377795302,51.46305377795302,52.76622023291118,8
120.0,18.333333333333336,51.26920976631064,51.48961711657068,51.48961711657068,52.76622023291118,9
120.0,20.0,50.259036683218895,51.53400021747309,51.53400021747309,52.76622023291118,10
120.0,21.666666666666668,49.67462298766154,51.630265325944876,51.630265325944876,52.76622023291118,11
120.0,23.333333333333336,51.224709576259464,51.782100427683794,51.782100427683794,52.76622023291118,12
120.0,25.0,52.81800167528773,51.97038874837566,51.97038874837566,52.81800167528773,13
120.0,26.666666666666668,52.51705722729626,52.168685605411675,52.168685605411675,52.81800167528773,14
120.0,28.333333333333336,53.375332234495154,52.35143661237672,52.35143661237672,53.375332234495154,15
120.0,30.0,52.21705654650405,52.49614293731146,52.49614293731146,53.375332234495154,16
120.0,31.666666666666668,52.82576725385752,52.58476977455727,52.58476977455727,53.375332234495154,17
120.0,33.333333333333336,52.42488733564211,52.60594839764156,52.60594839764156,53.375332234495154,18
120.0,35.0,51.26200203156635,52.55691112071129,52.60594839764156,53.375332234495154,19
120.0,36.66666666666667,52.31915994619092,52.4439842868673,52.60594839764156,53.375332234495154,20
120.0,38.333333333333336,51.72531797239387,52.279453535542196,52.60594839764156,53.375332234495154,21
120.0,40.0,52.98780169679,52.057324483504395,52.60594839764156,53.375332234495154,22
120.0,41.66666666666667,51.52413093482298,51.789750873343266,52.60594839764156,53.375332234495154,23
120.0,43.333333333333336,51.430157860029,51.494791401843806,52.60594839764156,53.375332234495154,24
120.0,45.0,51.8124961575587,51.185976993743026,52.60594839764156,53.375332234495154,25
124.16666666666667,5.0,52.99083071613822,51.90714788811792,52.60594839764156,53.375332234495154,26
124.16666666666667,6.666666666666667,51.80849799640142,51.9652286683937,52.60594839764156,53.375332234495154,27
124.16666666666667,8.333333333333334,51.77807958032071,51.95537023777421,52.60594839764156,53.375332234495154,28
124.16666666666667,10.0,52.11062099167579,51.92594483538704,52.60594839764156,53.375332234495154,29
124.16666666666667,11.666666666666668,53.101748150694945,51.90688538471092,52.60594839764156,53.375332234495154,30
124.16666666666667,13.333333333333334,50.744020676787734,51.87049631621648,52.60594839764156,53.375332234495154,31
124.16666666666667,15.0,50.418540806819934,51.74728212306131,52.60594839764156,53.375332234495154,32
124.16666666666667,16.666666666666668,54.940159342816784,51.49105296460981,52.60594839764156,54.940159342816784,33
124.16666666666667,18.333333333333336,50.982292629124174,51.168501902825966,52.60594839764156,54.940159342816784,34
124.16666666666667,20.0,51.03220668205086,50.923897784502756,52.60594839764156,54.940159342816784,35
124.16666666666667,21.666666666666668,48.38316733546803,50.87152015530005,52.60594839764156,54.940159342816784,36
124.16666666666667,23.333333333333336,50.487581710310465,51.03713104029286,52.60594839764156,54.940159342816784,37
124.16666666666667,25.0,51.19390247001883,51.380337565399266,52.60594839764156,54.940159342816784,38
124.16666666666667,26.666666666666668,51.10980529144685,51.83891411410052,52.60594839764156,54.940159342816784,39
124.16666666666667,28.333333333333336,51.812539313318645,52.350926659273,52.60594839764156,54.940159342816784,40
124.16666666666667,30.0,52.61651250100213,52.85822242053613,52.85822242053613,54.940159342816784,41
124.16666666666667,31.666666666666668,53.657573707236715,53.307234371093344,53.307234371093344,54.940159342816784,42
124.16666666666667,33.333333333333336,54.727664858416226,53.65268075978341,53.65268075978341,54.940159342816784,43
124.16666666666667,35.0,52.35365138527856,53.862270686502676,53.862270686502676,54.940159342816784,44
124.16666666666667,36.66666666666667,52.371979087889116,53.919801317205575,53.919801317205575,54.940159342816784,45
124.16666666666667,38.333333333333336,54.43277414872093,53.82372258083021,53.919801317205575,54.940159342816784,46
124.16666666666667,40.0,53.739066772097324,53.563521393178284,53.919801317205575,54.940159342816784,47
124.16666666666667,41.66666666666667,52.10731381969467,53.155830006167164,53.919801317205575,54.940159342816784,48
124.16666666666667,43.333333333333336,50.945421664093054,52.63118079186281,53.919801317205575,54.940159342816784,49
124.16666666666667,45.0,51.04472118431594,52.0221530657791,53.919801317205575,54.940159342816784,50
128.33333333333334,5.0,52.73428785443909,52.77153415118284,53.919801317205575,54.940159342816784,51
128.33333333333334,6.666666666666667,53.51189332477355,52.82534501509702,53.919801317205575,54.940159342816784,52
128.33333333333334,8.333333333333334,53.957982139872954,52.79953823245496,53.919801317205575,54.940159342816784,53
128.33333333333334,10.0,53.62734542919175,52.799842919187824,53.919801317205575,54.940159342816784,54
128.33333333333334,11.666666666666668,51.64417136127499,52.88141556392808,53.919801317205575,54.940159342816784,55
128.33333333333334,13.333333333333334,54.99851771256586,52.9483055962561,53.919801317205575,54.99851771256586,56
128.33333333333334,15.0,53.567850006629556,52.78578406033991,53.919801317205575,54.99851771256586,57
128.33333333333334,16.666666666666668,52.0779704104035,52.25398252210231,53.919801317205575,54.99851771256586,58
128.33333333333334,18.333333333333336,51.256937468417526,51.489186745076985,53.919801317205575,54.99851771256586,59
128.33333333333334,20.0,51.87393501109411,50.820536818540084,53.919801317205575,54.99851771256586,60
128.33333333333334,21.666666666666668,49.97603551031113,50.51375433276668,53.919801317205575,54.99851771256586,61
128.33333333333334,23.333333333333336,50.21138533220574,50.63280745850243,53.919801317205575,54.99851771256586,62
128.33333333333334,25.0,51.17870840004924,51.09566683732963,53.919801317205575,54.99851771256586,63
128.33333333333334,26.666666666666668,53.44717971663967,51.781005226789006,53.919801317205575,54.99851771256586,64
128.33333333333334,28.333333333333336,50.83945695950726,52.57874205595071,53.919801317205575,54.99851771256586,65
128.33333333333334,30.0,54.5327649849846,53.393241092162924,53.919801317205575,54.99851771256586,66
128.33333333333334,31.666666666666668,51.624282546319805,54.13858493754405,54.13858493754405,54.99851771256586,67
128.33333333333334,33.333333333333336,53.61075460564943,54.74081701510891,54.74081701510891,54.99851771256586,68
128.33333333333334,35.0,55.28537858194091,55.14412020311011,55.14412020311011,55.28537858194091,69
128.33333333333334,36.66666666666667,56.42636832316975,55.31578190750648,55.31578190750648,56.42636832316975,70
128.33333333333334,38.333333333333336,53.64949961591338,55.24581063463732,55.31578190750648,56.42636832316975,71
128.33333333333334,40.0,56.019636594479934,54.9233237279268,55.31578190750648,56.42636832316975,72
128.33333333333334,41.66666666666667,55.73434160194535,54.371813965512075,55.31578190750648,56.42636832316975,73
128.33333333333334,43.333333333333336,53.042205468226975,53.634566881747695,55.31578190750648,56.42636832316975,74
128.33333333333334,45.0,52.35524880411428,52.7613023592679,55.31578190750648,56.42636832316975,75
132.5,5.0,52.94116999187208,53.221024174575355,55.31578190750648,56.42636832316975,76
132.5,6.666666666666667,50.99221731338323,53.31414556595422,55.31578190750648,56.42636832316975,77
132.5,8.333333333333334,56.26411264011096,53.397501941172024,55.31578190750648,56.42636832316975,78
132.5,10.0,54.23190635905653,53.663999133424184,55.31578190750648,56.42636832316975,79
132.5,11.666666666666668,52.58793782934233,54.19251299919047,55.31578190750648,56.42636832316975,80
132.5,13.333333333333334,55.388422713042864,54.74191656470071,55.31578190750648,56.42636832316975,81
132.5,15.0,55.33870780095497,54.81450384904279,55.31578190750648,56.42636832316975,82
132.5,16.666666666666668,53.84016200825433,54.0768146756725,55.31578190750648,56.42636832316975,83
132.5,18.333333333333336,52.90332201910658,52.75889496943966,55.31578190750648,56.42636832316975,84
132.5,20.0,52.595594233825175,51.4898705507705,55.31578190750648,56.42636832316975,85
132.5,21.666666666666668,50.18731178416529,50.784259749219956,55.31578190750648,56.42636832316975,86
132.5,23.333333333333336,49.608472838535555,50.765996608000776,55.31578190750648,56.42636832316975,87
132.5,25.0,53.34850750449595,51.283471773443814,55.31578190750648,56.42636832316975,88
132.5,26.666666666666668,52.58858503670365,52.12513798557297,55.31578190750648,56.42636832316975,89
132.5,28.333333333333336,52.62255588961216,53.11853934007752,55.31578190750648,56.42636832316975,90
132.5,30.0,56.061092053424964,54.130796644394195,55.31578190750648,56.42636832316975,91
132.5,31.666666666666668,52.37689991016487,55.05121969907287,55.31578190750648,56.42636832316975,92
132.5,33.333333333333336,54.45539367427199,55.78760656974494,55.78760656974494,56.42636832316975,93
132.5,35.0,57.02361480903795,56.2716997537825,56.2716997537825,57.02361480903795,94
132.5,36.66666666666667,56.70581903504969,56.46468185096649,56.46468185096649,57.02361480903795,95
132.5,38.333333333333336,56.69569685736465,56.35676979777943,56.46468185096649,57.02361480903795,96
132.5,40.0,55.273705777006924,55.942718201764514,56.46468185096649,57.02361480903795,97
