method,evaluations_to_target,grid_evaluations_to_target,evaluation_reduction_vs_grid,reached_target,best_true_yield,best_temperature_c,best_residence_time_min,target_yield,true_optimum_yield
ei,10,365,0.9726027397260274,True,96.82864020001577,178.27204110100865,29.55560639500618,96.74421641366149,97.74421641366149
ucb,19,365,0.947945205479452,True,97.58243751997884,178.03428050130606,28.724369779229164,96.74421641366149,97.74421641366149
