temperature_c,residence_time_min,y_observed,y_true,best_true,best_observed,acquisition,evaluation
137.18630666744167,5.513930995152123,53.176776200085655,53.175300016056674,53.175300016056674,53.176776200085655,ei,1
197.80392887193508,18.873964050047043,52.71668623346841,52.35819158845825,53.175300016056674,53.176776200085655,ei,2
153.7479214386097,40.63223277301869,54.714905243068394,55.04387066950306,55.04387066950306,54.714905243068394,ei,3
182.4341836929303,25.89385790808617,87.20453370955386,88.27324391606258,88.27324391606258,87.20453370955386,ei,4
185.0366321405994,32.6603252357814,80.3447339149797,80.89033885718577,88.27324391606258,87.20453370955386,ei,5
216.21209466475858,38.607871939496135,47.302564455394894,48.49254032139065,88.27324391606258,87.20453370955386,ei,6
129.31413015432344,12.774618470586766,53.343033332323834,53.27086100920691,88.27324391606258,87.20453370955386,ei,7
163.6931467630256,22.232513239627536,68.8368593866112,67.22860109194575,88.27324391606258,87.20453370955386,ei,8
179.26009630784392,25.92058029025793,91.37851832223656,91.96916614449816,91.96916614449816,91.37851832223656,ei,9
179.11189140751958,27.9692605137825,96.04507626719722,96.78964614698114,96.78964614698114,96.04507626719722,ei,10
175.9339259751141,5.022846236824989,51.51708313415648,50.92927267393424,96.78964614698114,96.04507626719722,ei,11
133.0901651456952,28.47676709294319,53.74092843344686,53.31266402365479,96.78964614698114,96.04507626719722,ei,12
176.5839190967381,31.957710534334183,90.27657224226084,90.15007514346337,96.78964614698114,96.04507626719722,ei,13
177.6385567896068,35.2513387426734,74.39989659631135,75.51645824996119,96.78964614698114,96.04507626719722,ei,14
175.3680246695876,25.28174016624689,90.14791972509515,90.18302191205107,96.78964614698114,96.04507626719722,ei,15
175.12554133310914,25.75230121612549,92.72262719678177,91.88826336343183,96.78964614698114,96.04507626719722,ei,16
178.42348001897335,22.524354830384254,74.97130529997432,76.58436275671642,96.78964614698114,96.04507626719722,ei,17
172.06416649743915,33.31638351082802,80.94317460837824,81.4923135216265,96.78964614698114,96.04507626719722,ei,18
181.83491069823503,43.559631146490574,52.89683840549714,55.17830569325815,96.78964614698114,96.04507626719722,ei,19
173.10396198183298,28.015530221164227,93.65748718022378,95.20493246796575,96.78964614698114,96.04507626719722,ei,20
171.3168997131288,28.254514075815678,90.67635696462102,92.8864390099711,96.78964614698114,96.04507626719722,ei,21
184.70323791727424,28.603772185742855,88.78964592811413,89.07175528540374,96.78964614698114,96.04507626719722,ei,22
199.32282136753201,28.25521484017372,57.82675014669724,59.34768592442969,96.78964614698114,96.04507626719722,ei,23
172.16189995408058,28.24226427823305,94.44887452816398,94.12335729757794,96.78964614698114,96.04507626719722,ei,24
170.47883791849017,28.122368939220905,91.66229522231124,91.47419391836218,96.78964614698114,96.04507626719722,ei,25
168.3763354830444,28.44286549836397,87.43164925292204,87.65596638647798,96.78964614698114,96.04507626719722,ei,26
166.17458824068308,28.737763687968254,80.1235850682475,83.1436967212321,96.78964614698114,96.04507626719722,ei,27
218.3596141450107,5.140466168522835,47.05814088379113,47.7045723588071,96.78964614698114,96.04507626719722,ei,28
120.93307979404926,44.48360875248909,51.43551344267698,51.493714577158265,96.78964614698114,96.04507626719722,ei,29
171.5142914839089,22.93450318276882,77.43681893237284,77.30084814916887,96.78964614698114,96.04507626719722,ei,30
163.14755778759718,30.150923654437065,74.20318563973746,76.03934855834393,96.78964614698114,96.04507626719722,ei,31
219.47850639000535,27.824290543794632,51.24699131143281,51.820295242673524,96.78964614698114,96.04507626719722,ei,32
175.36646824330091,18.736843019723892,59.94771936647169,61.121942260139654,96.78964614698114,96.04507626719722,ei,33
178.27204110100865,29.55560639500618,95.85803551270504,96.82864020001577,96.82864020001577,96.04507626719722,ei,34
179.63313933461905,30.11913400143385,96.37370221390412,95.10062386584083,96.82864020001577,96.37370221390412,ei,35
178.49355114623904,30.119091384112835,94.78405908231075,95.75310069270903,96.82864020001577,96.37370221390412,ei,36
178.99494672194123,30.066007114946842,95.58434015715316,95.62336620308778,96.82864020001577,96.37370221390412,ei,37
179.2013875953853,30.556338354945183,95.43013777494812,94.36886993408831,96.82864020001577,96.37370221390412,ei,38
178.07932680472732,30.41658155620098,94.5032915971146,95.20361211640656,96.82864020001577,96.37370221390412,ei,39
178.4758646786213,30.422590635716915,94.9268431701379,95.0608855096389,96.82864020001577,96.37370221390412,ei,40
178.10798751190305,31.231756061315536,92.93056773687542,92.79801076497604,96.82864020001577,96.37370221390412,ei,41
177.80581384897232,30.976033434271812,93.76318127209296,93.6866431429869,96.82864020001577,96.37370221390412,ei,42
173.23540000244975,31.4613925665617,88.50539371690095,89.97546070860218,96.82864020001577,96.37370221390412,ei,43
181.60806668922305,30.176089070737362,93.0645580535418,92.97318977708939,96.82864020001577,96.37370221390412,ei,44
181.3318202085793,29.861834682524204,95.51376864835275,93.8831805422629,96.82864020001577,96.37370221390412,ei,45
181.667709518224,29.679590314626694,91.86257178621473,93.71914539996891,96.82864020001577,96.37370221390412,ei,46
